"洗衣机智能投放的地方关不紧，推到底卡住过半小时就有一条缝出来，正常吗
刚用一周不到",你好非常抱歉给您添麻烦了，请通过海尔服务报修由服务人员上门调整，谢谢
我家冰箱好像可以制冷，但是温度达不到零度以下。是压缩机的问题吗？,尊敬的用户您好！给您添麻烦了！这个不一定，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
海尔冰箱刚到货，本人检查出来不是新机子，本人要求换货,尊敬的用户您好！给您添麻烦了！关于您反映的是否新机问题，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解决，紧急情况可直接致电4006999999
我家洗衣机在洗的过程中泡泡从洗衣盒冒出来，洗衣盒是扣不紧送驰的，还有在洗衣过程中洗衣机会的幅度的晃荡，发出砰砰的声音,尊敬的用户您好，给您添麻烦了，根据您描述的情况，由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006-999-999，希望可以帮到您！
卡萨帝双筒洗衣机脱水时震动得厉害怎么回事？安装时绞空筒没有，放进衣服后就有，怎么回事？,"尊敬的用户您好！给您添麻烦了！根据您反映的问题可能是由于里面脱水的物件不均匀，出现了旋转不匀称，所以噪音大，建议重新调整一下物件，使之均匀，这样就会缩小声音了，由于不在现场无法准确判定或调试，建议您也可以通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！
"
跳闸,"	尊敬的用户您好！给您添麻烦了！根据您反馈的问题，原因有可能是电源有问题，检查下线路供电是否正常，如果电压不稳，电压降低后电流就会增大，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999，希望可以帮到您！"
E4是什么故障,"尊敬的用户您好！给您添麻烦了！E4故障码表示海尔洗衣机进水超时，请检查水压，进水阀是否脏堵，由于不在现场无法鉴定具体原因， 建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解 答，或者直接致电4006-999-999，希望可以帮到您！
"
我的洗衣机上不水,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
我的洗衣机洗出衣服老有一股味道,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
混合洗涤怎么不能用，,您好，给您添麻烦了，这个问题原因有很多，具体请微信报修让服务人员上门检查，紧急情况请拨打客服4006999999，谢谢
16年的彩电。。。电源板保修多久,尊敬的用户您好，很抱歉给您添麻烦了，海尔电视一般是整机保修一年，主要零部件是保修三年，这个具体需要您问一下当地售后或者直接致电4006-999-999，希望可以帮到您！
热水器刚开始上水挺快的，现在上一次水就得六七个小时甚至更长时间，请问是什么原因呢？有什么办法解决吗？,您好，不知您是什么热水器，电热水器是自动上水的。
洗衣机拆箱后，箱底泡沫上有白色的塑料卡在泡沫上，它是洗衣机底座上的零件吗？我的洗衣机型号是xqb75/z1626。,那是运输用的，一旦使用洗衣机就不需要了
换bcd239dvc冰箱变频板 多少钱？谢谢！,"您好！这个要根据工作人员的服务项目措施收费，包括维修费，备件费等，工作人员收费时会给您出示收费标准，请您及时核对！
"
我新买的洗衣机昨晚第一次用发现装柔顺济的灯一直闪烁说明书上说明是沒有了才闪烁但我都装滿了怎么还闪烁？,1.放错地方了，是不是放到洗衣液哪里了2.传感器检测有误，具体请微信报修让服务人员上门检查，谢谢
冰箱冷藏柜有冰,尊敬的用户您好！给您添麻烦了！根据您反馈的问题，由于不在现场，无法准确判定或调试，建议您通过海尔服务微信服务号或APP报修，让专业人员给您调试或维修，紧急情况可直接致电4006999999
海尔冰箱用了半年不到一直有问题，启动困难，每次都要发出奇怪声音启动两三次才开始运作，换了压缩机问题还是一样存在，怎么回事,尊敬的客户您好！继电器在压缩机启动前会有哒的一声，但声音不大，也不会影响正常的休息，如声音连续或长时噪音，建议您通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，紧急情况可直接致电4006999999
我家电视待机指示灯亮，按遥控器开机后待机灯灭但电视屏幕还是黑屏。,你好：抱歉给您添麻烦了！如果电视联网状态，请断开网络关闭电源开关重启，未联网关闭电源开关重启观察，仍无改善，建议你通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
我家买了滚筒洗衣机用了三次，它怎么不甩干呢？上面显示,你好非常抱歉给您添麻烦了，滚筒洗衣机有一个偏心保护功能，如果衣物偏心机器为了避免振动大，会自动保护不运行高速脱水，直到桶内衣物平衡均匀后再脱水，详细信息参考说明书给用户耐心指导：1：滚筒洗衣机脱水时离心方式与波轮洗衣机完全不同（因单件衣物脱水衣物距离离心力轴心），2：举例双桶洗衣机和波轮全自动洗衣机如衣物偏心不平衡会出现振动大撞桶问题，而滚筒洗衣机的偏心保护就是为了更好的保护洗衣机避免震动大设计的，3：目前市面上所有滚筒洗衣机都具备偏心保护功能。或请通过海尔服务报修由当地售后人员上门指导处理，谢谢
双桶洗衣机，工作过程中电机很热，怎么回事,你好非常抱歉给您添麻烦了，电机在运转过程中发热属正常现象请放心使用，谢谢
热水器晚上不用能关掉吗？电脑版的,您好，不用是通过显示屏按键关机即可。
空调制热！自动停了！再启动就吹凉风了！是怎么回事,您好，自动停机，是空调室外机在自动化霜，大约需要15分钟左右，空调制热，一般需要预热10分钟以上，才会正常出热风，刚开机时是不会马上出热风的，这是设计防冷风的功能。
振动，声音太大,"尊敬的用户您好！给您添麻烦了！请您检查是否是衣物的拉链或纽扣与内桶的摩擦声；是否将洗衣机放置平稳；或是将衣物放置太多；洗衣机是否放置在较小的空间聚音造成噪音大。由于不在现场无法鉴定具体原因，建议通过海尔服务微信服务号或APP报修，让专业服务人员上门给您详细检查和解答，或者直接致电4006999999，希望可以帮到您！
"
滚筒洗衣机进水出水同时进行什么原因？,您好，喷淋漂洗就是边进水边排水，程序自带，可以调整程序来洗
停水忘记关电，电热水器如何保护内胆,
新冰箱买回来就插过一次电，现在没用的，也就一直也没再通电这样可以吗？如果一直不用的话应该如何操作？,"尊敬的用户您好！短时间不用建议通着电，长时间不用的话建议断电，经常断电对冰箱的使用寿命是有影响的，谢谢！日常如有服务需求可以通过海尔服务APP快速维修等版块提报服务需求。 
"
安装电热水器是不是只挂到墙上就算安装好了？,安装电热水器除挂机外，外部管路免费连接，但是材料费按照标准要求及实际用量收取。
为什么按装还要费用呢,您好！感谢来询，请将您的产品及出现的问题同时反馈下。日常如有服务需求可通过海尔服务微信服务号或APP提报服务，紧急情况可致电4006999999
热水器半天烧不热,"您好！很抱歉给您添麻烦了！请通过海尔服务微信公众号或APP提报服务，让专业的维修人员上门排除故障，紧急情况可致电4006999999.
"
屏幕老是闪,您好：抱歉给您添麻烦了！请换个频道或信号源输入信号观察，仍无改善，建议您通过海尔服务微信号或APP快速维修等版块提报服务需求，紧急情况可致电4006999999
我的洗衣机洗到一半就停了，出现E1，为什么,你好非常抱歉给您添麻烦了，导致此问题有很多种原因，请通过海尔服务报修或拨打4006999999由当地售后服务人员上门检测处理，谢谢
全自动洗衣机新机怎样排出桶里水,你好，请选择单独脱水程序进行脱水，谢谢
为什么洗衣机报警并显示e3,
买了5天的洗衣机试两次都出现排水异常的情况，衣服直接甩不干，海尔售后来了弄了半天，还是原样，可退换货吗,你好非常抱歉给您添麻烦了，可以，现象
怎样自己在家清冼衣机？,非常抱歉给您添麻烦了！洗衣机清洗需要专业的服务人员才能完成，谢谢
